ens	symbol	length	weight
1	ENSG00000243485	MIR1302-2HG	1555	0
2	ENSG00000237613	FAM138A	1527	0
3	ENSG00000186092	OR4F5	6166	1
4	ENSG00000238009	AL627309.1	44428	0
5	ENSG00000239945	AL627309.3	1554	0
6	ENSG00000239906	AL627309.2	549	0
7	ENSG00000241860	AL627309.5	32388	1
8	ENSG00000241599	AL627309.4	1079	0
9	ENSG00000286448	AP006222.2	1800	1
10	ENSG00000236601	AL732372.1	7195	0
11	ENSG00000284733	OR4F29	994	1
12	ENSG00000235146	AC114498.1	7139	0
13	ENSG00000284662	OR4F16	994	1
14	ENSG00000229905	AL669831.2	1078	0
15	ENSG00000237491	LINC01409	31318	0
16	ENSG00000177757	FAM87B	2466	0
17	ENSG00000228794	LINC01128	43064	1
18	ENSG00000225880	LINC00115	1316	0
19	ENSG00000230368	FAM41C	8832	0
20	ENSG00000272438	AL645608.6	11142	0
21	ENSG00000230699	AL645608.2	3513	0
22	ENSG00000241180	AL645608.4	800	0
23	ENSG00000223764	LINC02593	4151	0
24	ENSG00000187634	SAMD11	20653	1
25	ENSG00000188976	NOC2L	15106	0.5
26	ENSG00000187961	KLHL17	5135	1
27	ENSG00000187583	PLEKHN1	9383	1
28	ENSG00000187642	PERM1	6889	1
29	ENSG00000272512	AL645608.7	2085	0
30	ENSG00000188290	HES4	1210	1
31	ENSG00000187608	ISG15	13402	1
32	ENSG00000224969	AL645608.1	1196	0
33	ENSG00000188157	AGRN	35998	1
34	ENSG00000242590	AL645608.5	1083	1
35	ENSG00000273443	AL645608.8	1080	0
36	ENSG00000237330	RNF223	3339	1
37	ENSG00000131591	C1orf159	34543	1
38	ENSG00000285812	AL390719.3	7013	1
39	ENSG00000223823	LINC01342	7039	0
40	ENSG00000272141	AL390719.2	986	0
41	ENSG00000205231	TTLL10-AS1	6499	0
42	ENSG00000162571	TTLL10	24051	1
43	ENSG00000186891	TNFRSF18	3084	1
44	ENSG00000186827	TNFRSF4	2813	1
45	ENSG00000078808	SDF4	15159	0.5
46	ENSG00000176022	B3GALT6	2804	0.5
47	ENSG00000184163	C1QTNF12	4276	1
48	ENSG00000260179	AL162741.1	1557	0
49	ENSG00000160087	UBE2J2	19976	0.5
50	ENSG00000230415	LINC01786	5197	0
51	ENSG00000162572	SCNN1D	11593	1
52	ENSG00000131584	ACAP3	17219	0.5
53	ENSG00000169972	PUSL1	3080	0.5
54	ENSG00000127054	INTS11	13106	0.5
55	ENSG00000240731	AL139287.1	1108	1
56	ENSG00000224051	CPTP	4140	1
57	ENSG00000169962	TAS1R3	4034	1
58	ENSG00000107404	DVL1	14142	1
59	ENSG00000162576	MXRA8	9088	1
60	ENSG00000175756	AURKAIP1	1765	0
61	ENSG00000221978	CCNL2	13624	0.5
62	ENSG00000224870	MRPL20-AS1	2526	1
63	ENSG00000242485	MRPL20	5384	0
64	ENSG00000272455	AL391244.2	1522	0
65	ENSG00000235098	ANKRD65	3349	1
66	ENSG00000225905	AL391244.1	2446	0
67	ENSG00000205116	TMEM88B	1659	1
68	ENSG00000225285	LINC01770	4034	0
69	ENSG00000179403	VWA1	8021	1
70	ENSG00000215915	ATAD3C	20474	1
71	ENSG00000160072	ATAD3B	26083	0
72	ENSG00000197785	ATAD3A	22523	0
73	ENSG00000205090	TMEM240	5846	1
74	ENSG00000160075	SSU72	33190	0.5
75	ENSG00000215014	AL645728.1	2973	0
76	ENSG00000228594	FNDC10	2123	1
77	ENSG00000286989	AL691432.4	2389	1
78	ENSG00000272106	AL691432.2	2037	0
79	ENSG00000197530	MIB2	15195	1
80	ENSG00000189409	MMP23B	3100	1
81	ENSG00000248333	CDK11B	23785	1
82	ENSG00000272004	FO704657.1	3277	0
83	ENSG00000189339	SLC35E2B	33266	1
84	ENSG00000008128	CDK11A	21978	1
85	ENSG00000215790	SLC35E2A	21161	1
86	ENSG00000008130	NADK	29225	1
87	ENSG00000078369	GNB1	105832	0.5
88	ENSG00000231050	AL109917.1	1187	0
89	ENSG00000169885	CALML6	2188	1
90	ENSG00000178821	TMEM52	1689	1
91	ENSG00000142609	CFAP74	81886	1
92	ENSG00000233542	AL391845.2	2426	0
93	ENSG00000187730	GABRD	11429	1
94	ENSG00000226969	AL391845.1	867	0
95	ENSG00000067606	PRKCZ	134984	1
96	ENSG00000271806	AL590822.2	4195	0
97	ENSG00000182873	PRKCZ-AS1	2595	0
98	ENSG00000162585	FAAP20	28259	1
99	ENSG00000234396	AL590822.1	8215	0
100	ENSG00000157933	SKI	81894	1
101	ENSG00000287356	AL590822.3	8045	1
102	ENSG00000116151	MORN1	70454	1
103	ENSG00000272161	AL589739.1	492	1
104	ENSG00000272420	AL513477.2	567	1
105	ENSG00000157916	RER1	13667	0.5
106	ENSG00000157911	PEX10	9833	1
107	ENSG00000149527	PLCH2	79552	1
108	ENSG00000224387	AL139246.1	958	0
109	ENSG00000229393	AL139246.4	1042	0
110	ENSG00000157881	PANK4	18074	0.5
111	ENSG00000197921	HES5	1518	1
112	ENSG00000272449	AL139246.5	17396	0
113	ENSG00000238164	TNFRSF14-AS1	7111	0
114	ENSG00000157873	TNFRSF14	9743	1
115	ENSG00000228037	AL139246.3	2973	0
116	ENSG00000157870	PRXL2B	4978	1
117	ENSG00000142606	MMEL1	42377	1
118	ENSG00000237058	AL831784.1	4052	0
119	ENSG00000215912	TTC34	165741	1
120	ENSG00000285945	AC242022.2	16642	1
121	ENSG00000283259	AC242022.1	2870	1
122	ENSG00000233234	AL592464.2	842	0
123	ENSG00000287396	AL592464.3	3711	1
124	ENSG00000231630	AL592464.1	566	0
125	ENSG00000284745	AL589702.1	8049	1
126	ENSG00000169717	ACTRT2	1436	1
127	ENSG00000177133	PRDM16-DT	8822	0
128	ENSG00000142611	PRDM16	369453	1
129	ENSG00000226286	AL008733.1	782	0
130	ENSG00000272235	AL590438.1	3460	0
131	ENSG00000287828	AL354743.2	10097	1
132	ENSG00000286518	AL354743.1	6113	1
133	ENSG00000130762	ARHGEF16	26448	1
134	ENSG00000272088	AL512413.1	381	0
135	ENSG00000162591	MEGF6	123557	1
136	ENSG00000238260	AL513320.1	1553	0
137	ENSG00000158109	TPRG1L	5112	0.5
138	ENSG00000116213	WRAP73	21994	1
139	ENSG00000078900	TP73	83685	1
140	ENSG00000227589	AL136528.1	9834	0
141	ENSG00000235131	AL136528.2	2098	0
142	ENSG00000162592	CCDC27	25185	1
143	ENSG00000235169	SMIM1	3221	1
144	ENSG00000130764	LRRC47	17939	0.5
145	ENSG00000272153	AL365330.1	530	0
146	ENSG00000116198	CEP104	45128	0.5
147	ENSG00000169598	DFFB	28162	1
148	ENSG00000198912	C1orf174	11168	0.5
149	ENSG00000236423	LINC01134	16873	0
150	ENSG00000233304	LINC01346	14776	0
151	ENSG00000226374	LINC01345	4477	0
152	ENSG00000284668	LINC02780	36571	1
153	ENSG00000284703	AL805961.1	6587	1
154	ENSG00000235054	LINC01777	12662	0
155	ENSG00000284694	AL355602.1	5244	1
156	ENSG00000227169	Z98747.1	410	0
157	ENSG00000232596	LINC01646	22535	0
158	ENSG00000196581	AJAP1	137925	1
159	ENSG00000287586	Z98886.1	4781	1
160	ENSG00000284739	BX005132.1	9344	1
161	ENSG00000284674	LINC02781	8187	1
162	ENSG00000231510	LINC02782	4440	0
163	ENSG00000284616	AL139823.1	5466	1
164	ENSG00000284692	Z98259.3	14321	1
165	ENSG00000284666	Z98259.2	1241	1
166	ENSG00000260972	Z98259.1	1696	0
167	ENSG00000236948	AL365255.1	106586	0
168	ENSG00000131697	NPHP4	129662	1
169	ENSG00000069424	KCNAB2	110266	1
170	ENSG00000116254	CHD5	78534	1
171	ENSG00000116251	RPL22	24369	0
172	ENSG00000226944	AL031847.1	940	0
173	ENSG00000158286	RNF207	15824	1
